library,bg,run,ccs,ccs_file
lib92,BA286,240207,lib92-BA-2-86-r1.r64296e214941B01.hifireads.fastq.gz,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240207_Omicron-BA286-EG5-FLip-PacBio/lib92-BA-2-86-r1.r64296e214941B01.hifireads.fastq.gz
lib93,BA286,240207,lib93-BA-2-86-r2.r64296e214941B01.hifireads.fastq.gz,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240207_Omicron-BA286-EG5-FLip-PacBio/lib93-BA-2-86-r2.r64296e214941B01.hifireads.fastq.gz
